1410881006.452884,Activity,2,(null),Shake
1410881006.452884,Activity,2,(null),Shake
1410881009.191125,Gyro,4.742310127863948,-1.867391778448694,-1.392993306092955,Shake
1410881009.212447,Motion,4.610622406005859,-1.881259560585022,-1.354537606239319,0.0713979166634806,1.160681839097164,-0.3837987652718332,4.610622406005859,-1.881259560585022,-1.354537606239319,0.02844319120049477,-0.9170751571655273,-0.3976984918117523,-0.06489644199609756,1.342734336853027,1.308282017707825,-1,0,0,0,Shake
1410881009.239362,Magnetic,62.26119995117188,120.7342529296875,-41.52278137207031,Shake
1410881009.283883,Acceleration,1.042251586914062,1.089248657226562,1.448196411132812,Shake
1410881009.446868,Gyro,8.46656194791451,-1.887392650867407,-1.322124991589293,Shake
1410881009.457575,Motion,8.334880828857422,-1.901259779930115,-1.283671140670776,0.09025475500021057,0.8951423648007614,-0.3130417279744277,8.334880828857422,-1.901259779930115,-1.283671140670776,0.05636942014098167,-0.780298113822937,-0.6228622198104858,-0.333316445350647,1.023736834526062,0.5860732793807983,-1,0,0,0,Shake
1410881009.483358,Magnetic,60.82673645019531,120.0193634033203,-42.55644226074219,Shake
1410881009.535332,Acceleration,1.116607666015625,0.4601593017578125,3.791717529296875,Shake
1410881009.693524,Gyro,5.700754107308129,-0.1375730429590953,-0.335993990504321,Shake
1410881009.71355,Motion,5.569079875946045,-0.1514395326375961,-0.2975420653820038,0.09015922222662083,0.5341873962590744,-0.2800064649149774,5.569079875946045,-0.1514395326375961,-0.2975420653820038,0.07749339193105698,-0.5091418027877808,-0.8571869134902954,-0.4884125888347626,0.04956234619021416,-0.5896972417831421,-1,0,0,0,Shake
1410881009.726158,Magnetic,62.26119995117188,123.2363586425781,-39.11091613769531,Shake
1410881009.781095,Acceleration,0.315521240234375,0.5561981201171875,1.115219116210938,Shake
1410881009.943729,Gyro,6.029341314188722,-4.165763182421021,0.6624586579961205,Shake
1410881009.969538,Motion,5.897626876831055,-4.179654598236084,0.700888991355896,0.2225054244079326,0.1105089048543101,-0.3270787673688251,5.897626876831055,-4.179654598236084,0.700888991355896,0.2193278819322586,-0.110284112393856,-0.9693980813026428,1.684419631958008,0.6142666339874268,-4.925255298614502,-1,0,0,0,Shake
1410881009.977579,Magnetic,64.41288757324219,125.0235748291016,-36.00994873046875,Shake
1410881010.029716,Acceleration,-0.21044921875,0.2905426025390625,-0.4159393310546875,Shake
1410881010.192683,Gyro,-7.792061008101268,6.006855712472965,-1.061917907805902,Shake
1410881010.213895,Motion,-7.923768520355225,5.992965221405029,-1.023489475250244,0.2825268708713915,-0.006021647523565325,-0.2629924532030795,-7.923768520355225,5.992965221405029,-1.023489475250244,0.2787781655788422,0.006021610926836729,-0.9603366255760193,-1.168594479560852,1.686941027641296,-6.362859725952148,-1,0,0,0,Shake
1410881010.222668,Magnetic,62.61981201171875,122.1640319824219,-32.21987915039062,Shake
1410881010.279349,Acceleration,-0.1324462890625,-0.232391357421875,-1.666351318359375,Shake
1410881010.449315,Gyro,-16.20102730375285,4.420760057847781,1.373149293862448,Shake
1410881010.459378,Motion,-16.33272743225098,4.406870365142822,1.411575675010681,0.1820575092976659,0.4848289797780146,-0.4684327654794702,-16.33272743225098,4.406870365142822,1.411575675010681,0.1601879000663757,-0.4660570621490479,-0.8701325654983521,0.6033771634101868,1.476433038711548,1.961990475654602,-1,0,0,0,Shake
1410881010.465154,Magnetic,63.15774536132812,124.4874114990234,-33.42581176757812,Shake
