"","mean_acc","sd_acc","max_acc","min_acc","median_acc","mean_gyro","sd_gyro","max_gyro","min_gyro","median_gyro"
"407",13014.8750874623,70.5519113305761,13071.8719011471,12895.8636779395,13036.20197757,14196.5779469301,78.5713835728867,14310.5585495466,14138.5308289086,14168.6112046326
"408",12367.6299412888,1345.66379314137,13046.5816979008,9962.82746011392,12944.7537249652,14166.0299223052,98.9775249419349,14297.2636193084,14022.6782748518,14176.6372952121
"409",13003.2429645602,62.6877641174019,13060.9660821855,12913.7291670532,13038.3107034615,14210.4441128392,126.173074951474,14381.1466858523,14091.1681204931,14189.1790460195
"410",13022.4991633903,74.1547326535693,13119.783268027,12934.6188579332,13041.4097780876,14138.4019009278,116.095261750446,14315.5799742798,14032.6160426344,14107.0407244043
"411",13016.7056444649,44.2911581868639,13067.3293752013,12969.8669615382,13024.9610364101,14221.7636134146,135.129216655998,14424.5314308646,14053.9399102173,14188.4959033719
"412",13028.6346363781,95.8847731014226,13126.4262844081,12920.6861272922,13069.1267497106,14191.3284382303,92.5834642166405,14330.7906620675,14108.6036162336,14145.8192056876
"413",13019.0912253894,53.1279703873385,13070.5424524004,12947.3649828836,13047.1238593032,14144.9952220637,80.1870297705091,14266.2932817183,14042.3719862422,14145.6359348034
"414",13046.0570519237,61.5507712410757,13123.7054980672,12985.5053424963,13017.1751543874,14171.0530184442,94.0966819485524,14243.0067401515,14034.1172148447,14231.3555924936
"415",13011.0615034632,72.8556200497325,13062.8939366436,12896.4020176172,13055.7955713162,14167.4341493796,102.541595173565,14320.0802022894,14043.4432031464,14151.4260058836
"416",13020.4421237976,97.2079011519227,13120.1852883258,12909.5776073425,13071.4901216349,14191.9167669513,66.7821076965478,14311.105373101,14157.3045810281,14161.1063833304
"417",13023.4129074892,74.8385014810924,13105.931252681,12935.4994105369,13058.3261944248,14225.5284597722,87.0807112054298,14321.8246742515,14122.4815099897,14233.49577581
"418",13001.5338021325,45.8201921478676,13034.5252694527,12924.07466707,13021.868567913,14201.7446743574,113.4537590885,14372.2359429561,14093.8596913691,14219.0560516512
"419",13026.0630900878,58.3092301120292,13111.9603797449,12963.6436236114,13033.0553977185,14158.0887699752,100.848782224456,14306.7390064962,14039.4163340219,14155.6095594644
"420",12997.6413568713,79.1893154838464,13123.5998872261,12933.4563825762,12960.6514496764,14169.1046545744,78.6041325128428,14280.4759724597,14075.0350265994,14171.8018967244
"421",13018.4825547184,73.6289047551885,13109.0395147776,12927.3742500169,13039.8755362158,14210.1844639464,89.3791126163915,14324.0623427853,14115.6050525651,14242.1876479704
"422",13020.5630254737,108.586944818926,13175.0140037876,12887.7645074699,13013.9830182769,14167.6995596831,57.1312803330298,14230.1348904359,14102.0479363814,14191.2774971107
"423",13170.8607724563,53.9364506936381,13235.0883638909,13103.1468357796,13159.6920936624,14255.9930449123,63.323607472972,14368.0759324274,14217.027713274,14235.7913022073
"424",13292.8212271621,101.49521360932,13437.0798166864,13208.5127474671,13234.2281225616,14254.0940114008,53.2311205558029,14287.1600397,14175.1450433496,14277.0354812769
"425",13342.6804699426,126.128292886491,13522.9578864981,13175.1513843295,13337.251216049,14495.8794578217,753.707125067673,15755.7708157995,13903.1091846392,14272.9319692907
"426",13194.6988736294,236.553467114877,13536.2642926326,12868.7969134648,13179.1517557087,13872.7680326889,485.542365820866,14323.8558356331,13211.9875870363,14096.499033448
"427",12935.8474624736,863.521444156227,13551.7136185798,11452.3127358626,13353.1041334965,14013.9442123457,1059.85978628162,15368.9711106502,12866.805392171,14383.2842911485
"428",13296.2440670675,333.835492745159,13651.4516444223,12880.6725367894,13447.4824781444,13891.5706546916,258.272011917044,14192.9135134404,13619.7939411725,14002.519987488
"429",12959.3679906919,150.431387304538,13144.8168492376,12766.8628487973,12924.6673458159,13707.3535310056,632.560052513115,14344.7439154556,12720.3841923112,13907.9963330452
"430",12962.6395044601,224.815139086063,13343.2347652284,12758.8051948449,12911.4681581918,13278.5490282538,754.652821054307,14249.0706363608,12619.6861292189,12839.4314515869
"431",13338.7443309184,337.573463102707,13595.4947684886,12749.578306752,13450.6270857533,14593.5485393228,1076.64643130325,15684.3032360383,13050.1735237506,14715.729543587
"432",13359.3891646175,301.48289400166,13675.1352095692,13042.0051755855,13435.6599019177,14257.1084281396,816.28646034248,15425.3345182528,13132.2520917016,14206.1589460346
"433",13183.479156878,393.393759741021,13585.0864553745,12787.7594988332,13172.5005219207,14162.7418225815,574.337081882922,14778.6722001674,13487.9766088172,14402.1716070876
"434",13284.4084955167,112.580661331925,13421.3744825185,13124.8086081283,13278.1370304723,15142.4383332541,1028.88405784948,16345.224807264,14043.4930839873,15253.8524314351
"435",13087.3988684183,266.900868590636,13460.1940550647,12791.6097892329,13101.8073180764,14749.6246243481,547.476073475962,15570.0590236518,14243.0696831828,14480.4818635293
"436",12949.8714488247,475.633865113308,13613.1574955996,12463.3642729401,13004.4452399939,13448.8205446668,1048.05233489878,14804.3664167029,12019.3050547858,13473.9597743202
"437",13190.1109310927,402.200549273414,13574.399323727,12604.3594442558,13369.8230728757,14028.8475710234,307.477700390402,14339.6882113943,13551.3961273368,14039.1701321695
"438",13056.0191758102,315.962974248845,13392.1238793554,12553.6650026994,13137.9238846935,13674.0363561624,798.351998141292,14404.2084475337,12523.9729319414,14127.5884707901
"439",13313.8121264512,113.80279851727,13501.3475623732,13217.0845877599,13275.865357859,13905.4971411591,740.551869566674,14818.1740440582,13071.4349633084,13985.6510037967
"440",13086.6748940815,204.784083293933,13389.998879761,12905.0708250672,13015.6506176218,13460.4099062133,854.295738579201,14329.0206922874,12510.5776445374,13501.0206440141
"441",12790.2240476374,182.020641814758,12998.8353709092,12637.2515208015,12674.9223666262,13410.7449408892,662.712919007163,14482.3948986347,12814.5986671452,13099.3302882247
"442",12953.9774066971,156.107922525146,13179.1336209935,12788.321782001,12900.4220473595,13327.12736188,307.502602079301,13753.449894481,12884.8440037123,13326.0856218171
"443",12062.655726773,1240.93403196525,12904.4046743738,9873.33626491066,12516.2373739075,13755.4151053663,888.108016417273,15095.5776636736,12855.5337889953,13427.9622057854
"444",12879.1436449222,151.828741766617,13127.0446026514,12734.6627360131,12866.5972968769,14771.5063619488,540.12498427077,15523.5277884893,14079.3731749677,14731.3336124059
"445",12787.0679151353,289.219928684071,13038.6204024812,12395.3627619364,12967.9520742483,13891.6641698276,1509.91679933327,15759.1385868644,12014.739031706,14411.1350697993
"446",12724.5174127616,150.393701359341,12880.0284937573,12481.998597981,12731.4000801169,14391.522848602,690.855174916305,15604.9989426466,13930.6738530482,14071.9748791703
"447",12775.8084468956,192.975154589668,13029.4166791917,12540.8185936963,12778.2885004213,13739.7508765862,582.031194771809,14243.0899386334,12760.4162157823,13819.6411313753
"448",12922.4210334383,102.984431781774,13035.3951225116,12818.7703778483,12913.3407373925,14218.3200464128,109.843398614666,14335.4797966444,14065.0452541042,14234.122487881
"449",13067.8896207142,61.4050163915703,13158.6835967737,13000.3686870796,13061.901737496,14239.7344755574,95.8557876616547,14345.0254443832,14107.8725894445,14263.8431707587
"450",13059.3748212292,69.441329949701,13176.5635884323,12996.3898833484,13041.1213091513,14113.8760356779,76.2762210308413,14217.1360688431,14016.7588978337,14106.3174854389
"451",12663.9761525132,940.274965486552,13155.8447087217,10984.7699111087,13069.6961326574,14202.8582023697,90.7378323686632,14338.7790623888,14129.1980664155,14164.4767640743
"452",13117.288094373,89.890553029458,13214.9258794743,13018.0257335742,13134.6724359612,14145.3885596611,93.3896153729879,14234.7386698878,14000.7366234781,14137.1577412152
"453",13137.9204676329,70.0088043778611,13218.4052744648,13026.5226749121,13148.5069114329,14226.6973501031,81.6525303434626,14310.2064625218,14111.167386152,14208.4170476517
"454",13175.0978371174,7.1047858093915,13182.7668567718,13163.5001424393,13176.1560403632,14218.5816401323,74.0113411310596,14301.8250933229,14129.1133479776,14192.2858623972
