"","mean_acc","sd_acc","max_acc","min_acc","median_acc","mean_gyro","sd_gyro","max_gyro","min_gyro","median_gyro"
"237",6093.74699573747,500.278112579109,6802.50108416015,5556.62757434759,6201.64574931526,6248.1290819778,1443.92450241662,8343.8272992674,4476.58351871156,6455.89544525002
"238",5701.06830613362,842.250236567745,6923.91052801811,4608.61486783176,5605.55849135481,6098.71217200596,1578.96660945788,8432.48018082462,4634.70355039025,5445.37767285245
"239",5888.99065688476,967.004035102779,7242.49798066938,4563.33233503763,5815.24453484116,6176.13972231866,1602.85437984769,8265.02280698608,4748.03906892098,5648.71896981962
"240",5689.51905527831,619.196777713856,6729.9376668733,5211.9560627465,5453.57873327231,6157.04262643093,1799.97649162165,8503.00217570242,4380.19200492399,5653.84594767137
"241",6030.95090734852,314.524945656198,6385.96664570056,5540.5333678266,6063.27015726662,5877.32747449812,1805.71854032875,8275.73295847564,4161.56196637753,4899.61529102031
"242",5726.56698289427,427.236747051964,6366.18677074432,5323.00422693802,5508.50850956954,5837.08733545078,1487.17628339757,7818.0156049985,4462.97860178603,5129.05244660259
"243",5671.15501417476,839.880352491081,6274.69027124049,4274.91941444514,6153.78761414464,5651.58497277165,1440.95319820844,7462.70353156281,4383.1762456009,4849.52502828885
"244",5537.68667443648,514.893794593392,6103.12133256418,5013.17165076162,5424.16684846622,5687.88854643953,1520.40096819968,7595.39939700343,4400.43736462638,4709.07220161254
"245",5695.23326035359,547.909333469331,6244.6027896096,4995.54261317027,5901.09328853561,5631.6542991246,1318.80099671608,7210.64691965984,3833.9943922755,5316.07204616341
"246",5497.67923785367,387.598370856759,6057.61165807119,5180.80794857327,5269.69638594103,5597.52986224342,1279.56478992525,7159.52498424302,4278.49669860805,5308.07592259191
"247",5825.71568713132,1124.64768522864,7673.10680233242,4912.74607526178,5257.71604406324,5900.34034954646,1528.76190081794,7517.30663203251,4178.83141559934,5944.99335575743
"248",6008.57315644269,1272.89641353701,7479.59684742433,4438.02748977516,6016.82125378509,5720.88827088376,1453.58368274852,7222.11457953971,4411.53442693129,5624.95203853203
