"","educ","conpress"
"907",15,NA
"908",12,NA
"909",16,NA
"910",12,NA
"911",3,NA
"912",5,NA
"913",8,NA
"914",12,NA
"915",12,NA
"916",12,NA
"917",15,NA
"918",12,NA
"919",4,NA
"920",12,NA
"921",9,NA
"922",20,NA
"923",15,NA
"924",8,NA
"925",5,NA
"926",7,NA
"927",11,NA
"928",12,NA
"929",10,NA
"930",10,NA
"931",10,NA
"932",12,NA
"933",8,NA
"934",12,NA
"935",12,NA
"936",10,NA
"937",8,NA
"938",8,NA
"939",8,NA
"940",0,NA
"941",0,NA
"942",12,NA
"943",11,NA
"944",0,NA
"945",8,NA
"946",12,NA
"947",12,NA
"948",18,NA
"949",16,NA
"950",12,NA
"951",16,NA
"952",13,NA
"953",14,NA
"954",12,NA
"955",12,NA
"956",10,NA
"957",8,NA
"958",3,NA
"959",8,NA
"960",15,NA
"961",12,NA
"962",12,NA
"963",16,NA
"964",19,NA
"965",20,NA
"966",14,NA
"967",13,NA
"968",13,NA
"969",17,NA
"970",18,NA
"971",14,NA
"972",8,NA
"973",16,NA
"974",12,NA
"975",10,NA
"976",11,NA
"977",14,NA
"978",12,NA
"979",12,NA
"980",11,NA
"981",12,NA
"982",7,NA
"983",15,NA
"984",12,NA
"985",12,NA
"986",12,NA
"987",7,NA
"988",8,NA
"989",16,NA
"990",7,NA
"991",13,NA
"992",12,NA
"993",14,NA
"994",11,NA
"995",8,NA
"996",8,NA
"997",14,NA
"998",11,NA
"999",11,NA
"1000",9,NA
"1001",10,NA
"1002",13,NA
"1003",8,NA
"1004",12,NA
"1005",15,NA
"1006",12,NA
"1007",12,NA
"1008",12,NA
"1009",12,NA
"1010",12,NA
"1011",11,NA
"1012",12,NA
"1013",11,NA
"1014",8,NA
"1015",12,NA
"1016",12,NA
"1017",12,NA
"1018",12,NA
"1019",12,NA
"1020",12,NA
"1021",11,NA
"1022",17,NA
"1023",13,NA
"1024",8,NA
"1025",10,NA
"1026",12,NA
"1027",12,NA
"1028",13,NA
"1029",12,NA
"1030",15,NA
"1031",9,NA
"1032",9,NA
"1033",11,NA
"1034",10,NA
"1035",11,NA
"1036",10,NA
"1037",8,NA
"1038",13,NA
"1039",13,NA
"1040",12,NA
"1041",12,NA
"1042",10,NA
"1043",12,NA
"1044",13,NA
"1045",12,NA
"1046",8,NA
"1047",8,NA
"1048",12,NA
"1049",15,NA
"1050",9,NA
"1051",5,NA
"1052",8,NA
"1053",11,NA
"1054",16,NA
"1055",16,NA
"1056",16,NA
"1057",12,NA
"1058",14,NA
"1059",16,NA
"1060",12,NA
"1061",12,NA
"1062",16,NA
"1063",8,NA
"1064",12,NA
"1065",13,NA
"1066",13,NA
"1067",13,NA
"1068",12,NA
"1069",16,NA
"1070",14,NA
"1071",12,NA
"1072",8,NA
"1073",12,NA
"1074",8,NA
"1075",11,NA
"1076",15,NA
"1077",12,NA
"1078",14,NA
"1079",14,NA
"1080",12,NA
"1081",7,NA
"1082",12,NA
"1083",18,NA
"1084",12,NA
"1085",19,NA
"1086",17,NA
"1087",14,NA
"1088",16,NA
"1089",13,NA
"1090",12,NA
"1091",16,NA
"1092",16,NA
"1093",17,NA
"1094",18,NA
"1095",12,NA
"1096",16,NA
"1097",12,NA
"1098",14,NA
"1099",15,NA
"1100",12,NA
"1101",11,NA
"1102",16,NA
"1103",12,NA
"1104",12,NA
"1105",11,NA
"1106",12,NA
"1107",13,NA
"1108",10,NA
"1109",12,NA
"1110",12,NA
"1111",11,NA
"1112",12,NA
"1113",12,NA
"1114",12,NA
"1115",2,NA
"1116",8,NA
"1117",12,NA
"1118",6,NA
"1119",11,NA
"1120",6,NA
"1121",12,NA
"1122",11,NA
"1123",10,NA
"1124",10,NA
"1125",8,NA
"1126",17,NA
"1127",12,NA
"1128",12,NA
"1129",8,NA
"1130",12,NA
"1131",12,NA
"1132",12,NA
"1133",5,NA
"1134",16,NA
"1135",12,NA
"1136",12,NA
"1137",14,NA
"1138",15,NA
"1139",13,NA
"1140",12,NA
"1141",16,NA
"1142",12,NA
"1143",15,NA
"1144",14,NA
"1145",11,NA
"1146",14,NA
"1147",14,NA
"1148",12,NA
"1149",15,NA
"1150",12,NA
"1151",13,NA
"1152",16,NA
"1153",11,NA
"1154",12,NA
"1155",17,NA
"1156",19,NA
"1157",11,NA
"1158",17,NA
"1159",12,NA
"1160",16,NA
"1161",12,NA
"1162",17,NA
"1163",12,NA
"1164",16,NA
"1165",9,NA
"1166",0,NA
"1167",3,NA
"1168",9,NA
"1169",4,NA
"1170",1,NA
"1171",3,NA
"1172",11,NA
"1173",15,NA
"1174",14,NA
"1175",14,NA
"1176",12,NA
"1177",12,NA
"1178",16,NA
"1179",11,NA
"1180",11,NA
"1181",6,NA
"1182",10,NA
"1183",7,NA
"1184",6,NA
"1185",8,NA
"1186",4,NA
"1187",11,NA
"1188",7,NA
"1189",11,NA
"1190",2,NA
"1191",12,NA
"1192",5,NA
"1193",2,NA
"1194",16,NA
"1195",9,NA
"1196",6,NA
"1197",17,NA
"1198",10,NA
"1199",12,NA
"1200",8,NA
"1201",0,NA
"1202",16,NA
"1203",12,NA
"1204",12,NA
"1205",4,NA
"1206",9,NA
"1207",12,NA
"1208",10,NA
"1209",10,NA
"1210",10,NA
"1211",7,NA
"1212",8,NA
"1213",12,NA
"1214",11,NA
"1215",5,NA
"1216",12,NA
"1217",11,NA
"1218",12,NA
"1219",15,NA
"1220",13,NA
"1221",16,NA
"1222",8,NA
"1223",14,NA
"1224",14,NA
"1225",10,NA
"1226",12,NA
"1227",13,NA
"1228",10,NA
"1229",0,NA
"1230",5,NA
"1231",9,NA
"1232",6,NA
"1233",14,NA
"1234",12,NA
"1235",12,NA
"1236",13,NA
"1237",17,NA
"1238",15,NA
"1239",11,NA
"1240",12,NA
"1241",12,NA
"1242",12,NA
"1243",7,NA
"1244",12,NA
"1245",10,NA
"1246",8,NA
"1247",12,NA
"1248",12,NA
"1249",14,NA
"1250",16,NA
"1251",14,NA
"1252",15,NA
"1253",13,NA
"1254",12,NA
"1255",16,NA
"1256",12,NA
"1257",16,NA
"1258",3,NA
"1259",11,NA
"1260",10,NA
"1261",0,NA
"1262",9,NA
"1263",2,NA
"1264",7,NA
"1265",12,NA
"1266",5,NA
"1267",13,NA
"1268",12,NA
"1269",12,NA
"1270",10,NA
"1271",11,NA
"1272",11,NA
"1273",14,NA
"1274",11,NA
"1275",15,NA
"1276",12,NA
"1277",13,NA
"1278",14,NA
"1279",14,NA
"1280",13,NA
"1281",10,NA
"1282",15,NA
"1283",12,NA
"1284",7,NA
"1285",7,NA
"1286",15,NA
"1287",12,NA
"1288",12,NA
"1289",8,NA
"1290",16,NA
"1291",14,NA
"1292",13,NA
"1293",13,NA
"1294",12,NA
"1295",14,NA
"1296",NA,NA
"1297",14,NA
"1298",12,NA
"1299",11,NA
"1300",12,NA
"1301",13,NA
"1302",16,NA
"1303",12,NA
"1304",12,NA
"1305",12,NA
"1306",14,NA
"1307",16,NA
"1308",14,NA
"1309",8,NA
"1310",12,NA
"1311",12,NA
"1312",12,NA
"1313",10,NA
"1314",12,NA
"1315",10,NA
"1316",11,NA
"1317",10,NA
"1318",8,NA
"1319",13,NA
"1320",12,NA
"1321",10,NA
"1322",9,NA
"1323",12,NA
"1324",12,NA
"1325",8,NA
"1326",14,NA
"1327",11,NA
"1328",12,NA
"1329",6,NA
"1330",10,NA
"1331",4,NA
"1332",7,NA
"1333",3,NA
"1334",10,NA
"1335",5,NA
"1336",4,NA
"1337",6,NA
